hours_studied,attendance_rate,extracurricular,sleep_hours,internet_access,parental_education,test_score,pass_fail
6,55.15619344179663,yes,8.250177860290208,no,master,91,1
3,95.12764533397834,yes,9.022079970182032,no,master,29,0
7,75.26261862239286,yes,8.184828770015702,yes,high_school,89,1
4,91.32287330538708,no,8.080844630561803,yes,high_school,20,0
6,66.00248005153058,yes,7.711668269291106,no,high_school,27,0
9,94.77616142481003,yes,8.516299837345848,yes,high_school,89,1
2,69.46008393670816,no,4.951630631758443,no,high_school,61,1
6,50.54188257401492,yes,9.28522455519357,yes,master,32,0
7,95.26909882096318,no,9.231061166471392,yes,none,84,1
4,54.56433383930668,no,4.175483698207355,no,high_school,34,0
3,65.96568187952074,no,8.954900503388576,yes,high_school,51,1
7,97.50309835254025,yes,4.773219204840672,yes,none,33,0
7,97.5303573468778,yes,6.010713125554851,yes,high_school,40,0
2,78.67189440616431,yes,8.461049537749647,yes,none,50,1
5,81.59186060848997,no,4.9645593762898494,yes,none,46,0
4,72.42227609891599,yes,8.907802144714374,yes,master,81,1
1,64.66053858490322,no,8.992805067746453,no,bachelor,57,1
7,66.4332272684958,yes,7.044806402565017,no,master,74,1
5,83.62592280385192,no,4.038315230301001,yes,bachelor,56,1
1,87.618726471884,yes,5.722228799049477,no,bachelor,22,0
4,89.57895218629243,yes,7.701561510254454,no,bachelor,47,0
0,89.48090713972769,yes,9.88711706816454,no,high_school,21,0
9,54.560305152434516,no,7.7908811621000105,yes,master,16,0
5,74.72101523512907,no,5.558821486384959,no,bachelor,68,1
8,52.877938000832216,yes,7.804034218597668,yes,none,10,0
0,77.47644411618677,yes,7.239912278295133,no,high_school,93,1
9,72.07652506866884,no,8.679072370906862,yes,master,14,0
2,94.38520913791498,no,4.64188383296175,yes,bachelor,90,1
6,67.54575062760394,no,8.566167415012167,no,none,34,0
3,55.853350821380296,yes,7.247599472056661,no,master,32,0
8,57.149584102641796,no,9.777952023153968,yes,master,83,1
2,88.07553158587362,yes,6.051232996232116,no,high_school,15,0
4,80.91090316581305,no,7.795731358803689,no,master,33,0
2,55.05613380613951,yes,9.592168633060105,no,high_school,65,1
6,54.20534030574987,no,4.6150583679440755,yes,bachelor,98,1
